ENSG00000223972.5	ENSG000002239725	DDX11L1
ENSG00000185053.13	ENSG0000018505313	SGCZ
ENSG00000254575.1	ENSG000002545751	RP11-3G21.1
ENSG00000214366.4	ENSG000002143664	EIF4EP5
ENSG00000252264.1	ENSG000002522641	RNU7-153P
ENSG00000206950.1	ENSG000002069501	Y_RNA
ENSG00000252035.1	ENSG000002520351	RNU6-397P
ENSG00000255365.1	ENSG000002553651	RP11-776K3.1
ENSG00000199127.1	ENSG000001991271	MIR383
ENSG00000255076.2	ENSG000002550762	CTD-2023J5.1
ENSG00000249368.1	ENSG000002493681	RP11-782K4.1
ENSG00000104723.20	ENSG0000010472320	TUSC3
ENSG00000248423.1	ENSG000002484231	RP11-235P11.1
ENSG00000250483.1	ENSG000002504831	PPM1AP1
ENSG00000226836.5	ENSG000002268365	RP11-77B22.1
ENSG00000253648.1	ENSG000002536481	RP11-77B22.2
ENSG00000038945.14	ENSG0000003894514	MSR1
ENSG00000253951.1	ENSG000002539511	RP11-447G11.1
ENSG00000253934.2	ENSG000002539342	MRPL49P2
ENSG00000253184.1	ENSG000002531841	RP11-13N12.2
ENSG00000253496.2	ENSG000002534962	RP11-13N12.1
ENSG00000264092.2	ENSG000002640922	RN7SL474P
ENSG00000078579.8	ENSG000000785798	FGF20
ENSG00000155970.11	ENSG0000015597011	MICU3
ENSG00000249258.2	ENSG000002492582	RP11-468H14.2
ENSG00000244113.1	ENSG000002441131	RP11-468H14.1
ENSG00000104219.12	ENSG0000010421912	ZDHHC2
ENSG00000198791.11	ENSG0000019879111	CNOT7
ENSG00000155975.9	ENSG000001559759	VPS37A
ENSG00000003987.13	ENSG0000000398713	MTMR7
ENSG00000214607.2	ENSG000002146072	ADAM24P
ENSG00000003989.17	ENSG0000000398917	SLC7A2
ENSG00000279271.1	ENSG000002792711	RP11-349F21.3
ENSG00000280453.1	ENSG000002804531	RP11-349F21.4
ENSG00000279903.1	ENSG000002799031	RP11-349F21.5
ENSG00000279932.1	ENSG000002799321	RP11-349F21.2
ENSG00000104213.12	ENSG0000010421312	PDGFRL
ENSG00000277466.1	ENSG000002774661	RP11-349F21.1
ENSG00000129422.14	ENSG0000012942214	MTUS1
ENSG00000265520.1	ENSG000002655201	MIR548V
ENSG00000253168.1	ENSG000002531681	RP11-326L2.1
ENSG00000212280.1	ENSG000002122801	RNA5SP256
ENSG00000253944.1	ENSG000002539441	RP11-156K13.1
ENSG00000253671.1	ENSG000002536711	RP11-806O11.1
ENSG00000104760.16	ENSG0000010476016	FGL1
ENSG00000253215.1	ENSG000002532151	RP11-156K13.2
ENSG00000254054.2	ENSG000002540542	RP11-156K13.3
ENSG00000078674.17	ENSG0000007867417	PCM1
ENSG00000104763.18	ENSG0000010476318	ASAH1
ENSG00000245281.6	ENSG000002452816	CTD-2547L16.1
ENSG00000253384.1	ENSG000002533841	CTD-2547L16.3
ENSG00000171428.13	ENSG0000017142813	NAT1
ENSG00000254015.1	ENSG000002540151	MTND4LP26
ENSG00000253937.1	ENSG000002539371	NATP
ENSG00000244593.1	ENSG000002445931	RP11-685B14.1
ENSG00000271654.1	ENSG000002716541	RP11-685B14.3
ENSG00000156006.4	ENSG000001560064	NAT2
ENSG00000156011.16	ENSG0000015601116	PSD3
ENSG00000187229.3	ENSG000001872293	RP11-161I2.1
ENSG00000244018.1	ENSG000002440181	RPL35P6
ENSG00000283402.1	ENSG000002834021	RP11-108A14.2
ENSG00000278886.1	ENSG000002788861	RP11-108A14.1
ENSG00000201157.1	ENSG000002011571	SNORA62
ENSG00000253335.1	ENSG000002533351	RP11-420B22.1
ENSG00000270255.1	ENSG000002702551	RP11-420B22.2
ENSG00000253557.5	ENSG000002535575	RP11-1080G15.1
ENSG00000254242.1	ENSG000002542421	RP11-1080G15.2
ENSG00000250316.1	ENSG000002503161	RP11-618M23.1
ENSG00000254201.1	ENSG000002542011	RP11-618M23.2
ENSG00000253280.1	ENSG000002532801	RP11-618M23.4
ENSG00000279919.1	ENSG000002799191	RP11-618M23.3
ENSG00000104611.11	ENSG0000010461111	SH2D4A
ENSG00000279858.1	ENSG000002798581	RP11-618M23.5
ENSG00000147408.14	ENSG0000014740814	CSGALNACT1
ENSG00000253270.1	ENSG000002532701	RP11-1105O14.1
ENSG00000104613.11	ENSG0000010461311	INTS10
ENSG00000175445.14	ENSG0000017544514	LPL
ENSG00000253775.1	ENSG000002537751	AC100802.3
ENSG00000242709.1	ENSG000002427091	RPL30P9
ENSG00000036565.14	ENSG0000003656514	SLC18A1
ENSG00000147416.10	ENSG0000014741610	ATP6V1B2
ENSG00000222267.1	ENSG000002222671	RNU6-892P
ENSG00000061337.15	ENSG0000006133715	LZTS1
ENSG00000253733.3	ENSG000002537333	LZTS1-AS1
ENSG00000274467.1	ENSG000002744671	RNA5SP257
ENSG00000253164.5	ENSG000002531645	RP11-563N12.2
ENSG00000253178.1	ENSG000002531781	RP11-404E12.1
ENSG00000253300.1	ENSG000002533001	RP11-108E14.1
ENSG00000253866.1	ENSG000002538661	TMEM97P2
ENSG00000254260.1	ENSG000002542601	RP11-369E15.1
ENSG00000254092.1	ENSG000002540921	RP11-369E15.3
ENSG00000253147.5	ENSG000002531475	RP11-369E15.4
ENSG00000254026.1	ENSG000002540261	RP11-369E15.2
ENSG00000253199.1	ENSG000002531991	LINC02153
ENSG00000254040.1	ENSG000002540401	RP11-421P23.2
ENSG00000280215.1	ENSG000002802151	RP11-279N21.1
ENSG00000254334.1	ENSG000002543341	RP11-24P4.1
ENSG00000168546.10	ENSG0000016854610	GFRA2
ENSG00000273484.1	ENSG000002734841	OR6R2P
ENSG00000147443.12	ENSG0000014744312	DOK2
ENSG00000130227.16	ENSG0000013022716	XPO7
ENSG00000158806.13	ENSG0000015880613	NPM2
ENSG00000158815.10	ENSG0000015881510	FGF17
ENSG00000158856.17	ENSG0000015885617	DMTN
ENSG00000158863.21	ENSG0000015886321	FAM160B2
ENSG00000275074.1	ENSG000002750741	NUDT18
ENSG00000168453.14	ENSG0000016845314	HR
ENSG00000168476.11	ENSG0000016847611	REEP4
ENSG00000168481.8	ENSG000001684818	LGI3
ENSG00000168484.12	ENSG0000016848412	SFTPC
ENSG00000168487.17	ENSG0000016848717	BMP1
ENSG00000177725.5	ENSG000001777255	CTD-2530N21.5
ENSG00000168490.13	ENSG0000016849013	PHYHIP
ENSG00000208037.1	ENSG000002080371	MIR320A
ENSG00000168495.12	ENSG0000016849512	POLR3D
ENSG00000254064.1	ENSG000002540641	CTD-2530N21.4
ENSG00000197181.11	ENSG0000019718111	PIWIL2
ENSG00000104635.13	ENSG0000010463513	SLC39A14
ENSG00000241026.1	ENSG000002410261	CTD-2036J7.1
ENSG00000201761.1	ENSG000002017611	RNU6-336P
ENSG00000120910.14	ENSG0000012091014	PPP3CC
ENSG00000254272.1	ENSG000002542721	RP11-382J24.2
ENSG00000251034.1	ENSG000002510341	RP11-582J16.4
ENSG00000120896.13	ENSG0000012089613	SORBS3
ENSG00000254230.1	ENSG000002542301	RP11-582J16.3
ENSG00000120913.23	ENSG0000012091323	PDLIM2
ENSG00000248235.6	ENSG000002482356	AC037459.4
ENSG00000241852.9	ENSG000002418529	C8orf58
ENSG00000158941.16	ENSG0000015894116	CCAR2
ENSG00000253200.1	ENSG000002532001	RP11-582J16.5
ENSG00000147439.12	ENSG0000014743912	BIN3
ENSG00000261026.1	ENSG000002610261	CTD-3247F14.2
ENSG00000179388.8	ENSG000001793888	EGR3
ENSG00000253125.1	ENSG000002531251	RP11-459E5.1
ENSG00000134020.7	ENSG000001340207	PEBP4
ENSG00000248738.6	ENSG000002487386	RP11-87E22.2
ENSG00000253142.1	ENSG000002531421	RP11-87E22.1
ENSG00000240116.3	ENSG000002401163	RN7SL303P
ENSG00000245025.2	ENSG000002450252	RP11-875O11.1
ENSG00000008853.16	ENSG0000000885316	RHOBTB2
ENSG00000120889.12	ENSG0000012088912	TNFRSF10B
ENSG00000246130.1	ENSG000002461301	RP11-875O11.2
ENSG00000253616.5	ENSG000002536165	RP11-875O11.3
ENSG00000173535.13	ENSG0000017353513	TNFRSF10C
ENSG00000173530.5	ENSG000001735305	TNFRSF10D
ENSG00000253930.1	ENSG000002539301	RP11-1149O23.2
ENSG00000104689.9	ENSG000001046899	TNFRSF10A
ENSG00000243265.1	ENSG000002432651	RPL23AP55
ENSG00000246582.2	ENSG000002465822	RP11-1149O23.3
ENSG00000250714.3	ENSG000002507143	RP11-1149O23.4
ENSG00000147457.13	ENSG0000014745713	CHMP7
ENSG00000104679.10	ENSG0000010467910	R3HCC1
ENSG00000134013.15	ENSG0000013401315	LOXL2
ENSG00000253837.1	ENSG000002538371	RP11-177H13.2
ENSG00000197217.12	ENSG0000019721712	ENTPD4
ENSG00000253390.1	ENSG000002533901	CTC-756D1.2
ENSG00000253483.1	ENSG000002534831	CTC-756D1.1
ENSG00000253986.1	ENSG000002539861	CTC-756D1.3
ENSG00000147454.13	ENSG0000014745413	SLC25A37
ENSG00000252067.1	ENSG000002520671	RNU4-71P
ENSG00000253488.1	ENSG000002534881	FAM60DP
ENSG00000167034.9	ENSG000001670349	NKX3-1
ENSG00000180053.7	ENSG000001800537	NKX2-6
ENSG00000253471.1	ENSG000002534711	RP11-175E9.1
ENSG00000254002.1	ENSG000002540021	RP11-213G6.2
ENSG00000271118.1	ENSG000002711181	RP11-175E9.2
ENSG00000207027.1	ENSG000002070271	SNORA67
ENSG00000159167.11	ENSG0000015916711	STC1
ENSG00000207201.1	ENSG000002072011	RNU1-148P
ENSG00000253891.1	ENSG000002538911	RP11-203E8.1
ENSG00000042980.12	ENSG0000004298012	ADAM28
ENSG00000253535.5	ENSG000002535355	RP11-624C23.1
ENSG00000134028.14	ENSG0000013402814	ADAMDEC1
ENSG00000069206.15	ENSG0000006920615	ADAM7
ENSG00000253643.5	ENSG000002536435	RP11-561E1.1
ENSG00000272163.1	ENSG000002721631	GS1-72M22.1
ENSG00000104722.13	ENSG0000010472213	NEFM
ENSG00000277586.2	ENSG000002775862	NEFL
ENSG00000283327.1	ENSG000002833271	MIR6841
ENSG00000272157.1	ENSG000002721571	CTD-2168K21.2
ENSG00000253832.1	ENSG000002538321	CTD-2168K21.1
ENSG00000253670.1	ENSG000002536701	RP11-429O2.1
ENSG00000147459.17	ENSG0000014745917	DOCK5
ENSG00000274988.1	ENSG000002749881	MIR6876
ENSG00000147437.9	ENSG000001474379	GNRH1
ENSG00000253476.1	ENSG000002534761	RP11-395I14.2
ENSG00000104756.15	ENSG0000010475615	KCTD9
ENSG00000184661.13	ENSG0000018466113	CDCA2
ENSG00000253100.1	ENSG000002531001	RP11-219J21.1
ENSG00000253342.1	ENSG000002533421	RP11-219J21.2
ENSG00000254178.1	ENSG000002541781	RP11-299D14.2
ENSG00000221818.8	ENSG000002218188	EBF2
ENSG00000199620.1	ENSG000001996201	RNA5SP258
ENSG00000249213.1	ENSG000002492131	RP11-98P2.1
ENSG00000221914.9	ENSG000002219149	PPP2R2A
ENSG00000228451.3	ENSG000002284513	SDAD1P1
ENSG00000104765.15	ENSG0000010476515	BNIP3L
ENSG00000253430.1	ENSG000002534301	RP11-14I17.2
ENSG00000251203.1	ENSG000002512031	RP11-14I17.1
ENSG00000254362.1	ENSG000002543621	RP11-14I17.3
ENSG00000240694.8	ENSG000002406948	PNMA2
ENSG00000092964.17	ENSG0000009296417	DPYSL2
ENSG00000253208.1	ENSG000002532081	RP11-1G11.2
ENSG00000120907.17	ENSG0000012090717	ADRA1A
ENSG00000240519.1	ENSG000002405191	RP11-384C12.1
ENSG00000253813.1	ENSG000002538131	COX6B1P4
ENSG00000275115.1	ENSG000002751151	RP11-613H2.3
ENSG00000215288.4	ENSG000002152884	RP11-613H2.1
ENSG00000221616.1	ENSG000002216161	MIR548H4
ENSG00000253899.1	ENSG000002538991	RP11-613H2.2
ENSG00000253903.2	ENSG000002539032	RP11-521M14.2
ENSG00000253888.1	ENSG000002538881	RP11-521M14.1
ENSG00000015592.16	ENSG0000001559216	STMN4
ENSG00000104228.12	ENSG0000010422812	TRIM35
ENSG00000120899.17	ENSG0000012089917	PTK2B
ENSG00000273836.1	ENSG000002738361	MIR6842
ENSG00000120903.12	ENSG0000012090312	CHRNA2
ENSG00000120915.13	ENSG0000012091513	EPHX2
ENSG00000234770.1	ENSG000002347701	GULOP
ENSG00000120885.21	ENSG0000012088521	CLU
ENSG00000284280.1	ENSG000002842801	MIR6843
ENSG00000168077.13	ENSG0000016807713	SCARA3
ENSG00000222862.2	ENSG000002228622	RNU6-1086P
ENSG00000253560.1	ENSG000002535601	RP11-16P20.2
ENSG00000279302.3	ENSG000002793023	RP11-16P20.4
ENSG00000265075.1	ENSG000002650751	MIR3622B
ENSG00000284351.1	ENSG000002843511	MIR3622A
ENSG00000147419.17	ENSG0000014741917	CCDC25
ENSG00000253875.1	ENSG000002538751	RP11-16P20.3
ENSG00000171320.14	ENSG0000017132014	ESCO2
ENSG00000202242.1	ENSG000002022421	RNU6-1276P
ENSG00000168078.9	ENSG000001680789	PBK
ENSG00000253176.3	ENSG000002531763	RP11-1149M3.2
ENSG00000168079.16	ENSG0000016807916	SCARA5
ENSG00000265847.1	ENSG000002658471	MIR4287
ENSG00000253290.1	ENSG000002532901	RP11-597M17.3
ENSG00000253615.1	ENSG000002536151	RP11-597M17.2
ENSG00000253397.1	ENSG000002533971	RP11-597M17.1
ENSG00000189233.11	ENSG0000018923311	NUGGC
ENSG00000134014.16	ENSG0000013401416	ELP3
ENSG00000250516.1	ENSG000002505161	RP11-380I10.2
ENSG00000253907.1	ENSG000002539071	RP11-380I10.3
ENSG00000253690.1	ENSG000002536901	RP11-380I10.4
ENSG00000239198.1	ENSG000002391981	RPL5P22
ENSG00000168081.8	ENSG000001680818	PNOC
ENSG00000186918.13	ENSG0000018691813	ZNF395
ENSG00000214050.7	ENSG000002140507	FBXO16
ENSG00000254370.1	ENSG000002543701	RP11-181B11.1
ENSG00000207361.1	ENSG000002073611	RNU6-178P
ENSG00000253567.1	ENSG000002535671	RP11-181B11.2
ENSG00000104290.10	ENSG0000010429010	FZD3
ENSG00000265251.1	ENSG000002652511	MIR4288
ENSG00000202411.1	ENSG000002024111	RNA5SP259
ENSG00000012232.8	ENSG000000122328	EXTL3
ENSG00000246339.5	ENSG000002463395	EXTL3-AS1
ENSG00000104299.14	ENSG0000010429914	INTS9
ENSG00000254034.1	ENSG000002540341	RP11-662B19.2
ENSG00000242958.1	ENSG000002429581	RP11-662B19.1
ENSG00000147421.17	ENSG0000014742117	HMBOX1
ENSG00000273710.1	ENSG000002737101	Metazoa_SRP
ENSG00000259196.1	ENSG000002591961	HMBOX1-IT1
ENSG00000200719.1	ENSG000002007191	RNA5SP260
ENSG00000259366.1	ENSG000002593661	CTD-2647L4.4
ENSG00000259607.1	ENSG000002596071	CTD-2647L4.5
ENSG00000197892.12	ENSG0000019789212	KIF13B
ENSG00000254129.1	ENSG000002541291	CTD-2647L4.1
ENSG00000253770.1	ENSG000002537701	HMGB1P23
ENSG00000120875.8	ENSG000001208758	DUSP4
ENSG00000260253.1	ENSG000002602531	RP4-676L2.1
ENSG00000253632.1	ENSG000002536321	RP11-486M23.1
ENSG00000253182.1	ENSG000002531821	RP11-486M23.2
ENSG00000280147.1	ENSG000002801471	RP11-486M23.3
ENSG00000243844.1	ENSG000002438441	RPL17P33
ENSG00000251191.7	ENSG000002511917	LINC00589
ENSG00000253490.5	ENSG000002534905	LINC02099
ENSG00000248964.6	ENSG000002489646	RP11-94H18.1
ENSG00000254086.1	ENSG000002540861	RP11-94H18.2
ENSG00000253604.1	ENSG000002536041	RP11-489E7.1
ENSG00000253279.5	ENSG000002532795	LINC02209
ENSG00000264788.1	ENSG000002647881	MIR3148
ENSG00000254013.1	ENSG000002540131	MAP2K1P1
ENSG00000239175.1	ENSG000002391751	RNU6-1218P
ENSG00000133872.13	ENSG0000013387213	SARAF
ENSG00000272256.1	ENSG000002722561	RP11-489E7.4
ENSG00000104660.17	ENSG0000010466017	LEPROTL1
ENSG00000241511.1	ENSG000002415111	RPS15AP24
ENSG00000177669.3	ENSG000001776693	MBOAT4
ENSG00000271869.1	ENSG000002718691	RP11-51J9.5
ENSG00000104671.7	ENSG000001046717	DCTN6
ENSG00000253708.1	ENSG000002537081	RP11-51J9.4
ENSG00000272375.1	ENSG000002723751	RP11-51J9.6
ENSG00000248159.1	ENSG000002481591	HSPA8P11
ENSG00000254316.1	ENSG000002543161	CTD-2345M20.2
ENSG00000253346.1	ENSG000002533461	CTD-3107M8.1
ENSG00000254152.1	ENSG000002541521	CTD-3107M8.2
ENSG00000127589.4	ENSG000001275894	TUBBP1
ENSG00000254109.5	ENSG000002541095	RBPMS-AS1
ENSG00000157110.15	ENSG0000015711015	RBPMS
ENSG00000279041.1	ENSG000002790411	CTD-2373N4.3
ENSG00000197265.8	ENSG000001972658	GTF2E2
ENSG00000253112.1	ENSG000002531121	CTD-2373N4.5
ENSG00000253457.2	ENSG000002534572	SMIM18
ENSG00000254172.1	ENSG000002541721	RNU5A-3P
ENSG00000104687.12	ENSG0000010468712	GSR
ENSG00000104691.14	ENSG0000010469114	UBXN8
ENSG00000271081.1	ENSG000002710811	RP11-465K4.4
ENSG00000104695.12	ENSG0000010469512	PPP2CB
ENSG00000133863.7	ENSG000001338637	TEX15
ENSG00000253204.1	ENSG000002532041	RP5-1009N12.1
ENSG00000253793.1	ENSG000002537931	RP11-293D9.2
ENSG00000172733.11	ENSG0000017273311	PURG
ENSG00000165392.9	ENSG000001653929	WRN
ENSG00000253579.1	ENSG000002535791	SUMO2P16
ENSG00000253961.1	ENSG000002539611	RP11-363L24.3
ENSG00000229211.3	ENSG000002292113	KCTD9P6
ENSG00000253377.1	ENSG000002533771	RP11-566H8.3
ENSG00000254095.1	ENSG000002540951	RP11-566H8.2
ENSG00000253275.1	ENSG000002532751	RP11-566H8.1
ENSG00000222468.1	ENSG000002224681	RNA5SP261
ENSG00000157168.18	ENSG0000015716818	NRG1
ENSG00000253974.5	ENSG000002539745	NRG1-IT1
ENSG00000252261.1	ENSG000002522611	RNA5SP262
ENSG00000200246.1	ENSG000002002461	RNA5SP263
ENSG00000254049.1	ENSG000002540491	NRG1-IT3
ENSG00000212407.1	ENSG000002124071	RNU6-663P
ENSG00000247134.6	ENSG000002471346	RP11-11N9.4
ENSG00000254346.2	ENSG000002543462	MTND1P6
ENSG00000254090.1	ENSG000002540901	MTND2P32
ENSG00000253393.1	ENSG000002533931	RANP9
ENSG00000253993.1	ENSG000002539931	RP11-451O18.1
ENSG00000252735.1	ENSG000002527351	RNU6-528P
ENSG00000272338.2	ENSG000002723382	RP11-722E23.2
ENSG00000172728.15	ENSG0000017272815	FUT10
ENSG00000254061.1	ENSG000002540611	RP11-359B20.1
ENSG00000129696.12	ENSG0000012969612	TTI2
ENSG00000198042.10	ENSG0000019804210	MAK16
ENSG00000239039.1	ENSG000002390391	SNORD13
ENSG00000253232.1	ENSG000002532321	RP11-359B20.5
ENSG00000252505.1	ENSG000002525051	SNORA70
ENSG00000253995.1	ENSG000002539951	RPL10P18
ENSG00000133874.1	ENSG000001338741	RNF122
ENSG00000240189.3	ENSG000002401893	RN7SL621P
ENSG00000133878.8	ENSG000001338788	DUSP26
ENSG00000253642.5	ENSG000002536425	RP11-317N12.1
ENSG00000253684.1	ENSG000002536841	BUD31P1
ENSG00000263794.2	ENSG000002637942	RN7SL457P
ENSG00000253569.1	ENSG000002535691	VENTXP5
ENSG00000240738.1	ENSG000002407381	RP1-273G13.1
ENSG00000188512.6	ENSG000001885126	RP1-273G13.2
ENSG00000254194.5	ENSG000002541945	RP1-273G13.3
ENSG00000254302.1	ENSG000002543021	RP11-431M3.1
ENSG00000253108.1	ENSG000002531081	RP1-84O15.2
ENSG00000254033.1	ENSG000002540331	RP11-431M3.2
ENSG00000215264.4	ENSG000002152644	RPL10AP3
ENSG00000254344.1	ENSG000002543441	LINC01288
ENSG00000243181.2	ENSG000002431812	RP11-734J24.1
ENSG00000156687.10	ENSG0000015668710	UNC5D
ENSG00000279099.1	ENSG000002790991	RP11-595O22.1
ENSG00000232024.2	ENSG000002320242	LSM12P1
ENSG00000253452.5	ENSG000002534525	RP11-473J6.1
ENSG00000253524.1	ENSG000002535241	RP11-89M20.2
ENSG00000254309.1	ENSG000002543091	RP11-89M20.1
ENSG00000253504.1	ENSG000002535041	MTCYBP19
ENSG00000254384.1	ENSG000002543841	MTND6P19
ENSG00000253685.1	ENSG000002536851	MTND5P41
ENSG00000253610.1	ENSG000002536101	RP11-139F9.1
ENSG00000206871.1	ENSG000002068711	RNU6-533P
ENSG00000254320.1	ENSG000002543201	RP11-593P24.4
ENSG00000253363.5	ENSG000002533635	RP11-962G15.1
ENSG00000244708.1	ENSG000002447081	RPL23P10
ENSG00000199985.1	ENSG000001999851	RNA5SP264
ENSG00000215262.7	ENSG000002152627	KCNU1
ENSG00000274489.1	ENSG000002744891	RP11-962G15.2
ENSG00000219491.6	ENSG000002194916	TPT1P8
ENSG00000243503.2	ENSG000002435032	AC090453.1
ENSG00000254038.1	ENSG000002540381	RP11-419C23.1
ENSG00000253650.1	ENSG000002536501	SMARCE1P4
ENSG00000253123.3	ENSG000002531233	RP11-527N22.1
ENSG00000253746.1	ENSG000002537461	RP11-527N22.2
ENSG00000253161.5	ENSG000002531615	LINC01605
ENSG00000253388.1	ENSG000002533881	RP11-150O12.2
ENSG00000253414.2	ENSG000002534142	RP11-150O12.6
ENSG00000254111.2	ENSG000002541112	RP11-150O12.5
ENSG00000254290.1	ENSG000002542901	RP11-150O12.3
ENSG00000254306.1	ENSG000002543061	RP11-150O12.4
ENSG00000253344.1	ENSG000002533441	RP11-346L1.2
ENSG00000223215.1	ENSG000002232151	RNU6-607P
ENSG00000183779.6	ENSG000001837796	ZNF703
ENSG00000253181.1	ENSG000002531811	RP11-863K10.2
ENSG00000183154.1	ENSG000001831541	RP11-863K10.7
ENSG00000147475.14	ENSG0000014747514	ERLIN2
ENSG00000233170.4	ENSG000002331704	RP11-863K10.4
ENSG00000147471.11	ENSG0000014747111	PROSC
ENSG00000020181.17	ENSG0000002018117	ADGRA2
ENSG00000104221.12	ENSG0000010422112	BRF2
ENSG00000156675.15	ENSG0000015667515	RAB11FIP1
ENSG00000280064.1	ENSG000002800641	RP11-205M5.3
ENSG00000241032.3	ENSG000002410323	RN7SL709P
ENSG00000169154.5	ENSG000001691545	GOT1L1
ENSG00000188778.5	ENSG000001887785	ADRB3
ENSG00000270865.1	ENSG000002708651	RPL12P48
ENSG00000187840.4	ENSG000001878404	EIF4EBP1
ENSG00000260949.1	ENSG000002609491	KB-1836B5.1
ENSG00000272128.1	ENSG000002721281	KB-1836B5.4
ENSG00000129691.15	ENSG0000012969115	ASH2L
ENSG00000253437.1	ENSG000002534371	RNU6-988P
ENSG00000240015.2	ENSG000002400152	RP11-90P5.5
ENSG00000147465.11	ENSG0000014746511	STAR
ENSG00000253356.1	ENSG000002533561	RP11-90P5.2
ENSG00000175324.9	ENSG000001753249	LSM1
ENSG00000253739.1	ENSG000002537391	RNU6-323P
ENSG00000156735.10	ENSG0000015673510	BAG4
ENSG00000248585.2	ENSG000002485852	RP11-90P5.1
ENSG00000085788.13	ENSG0000008578813	DDHD2
ENSG00000147535.16	ENSG0000014753516	PLPP5
ENSG00000147548.16	ENSG0000014754816	NSD3
ENSG00000255487.1	ENSG000002554871	RP11-513D5.5
ENSG00000254898.1	ENSG000002548981	RP11-513D5.2
ENSG00000272092.1	ENSG000002720921	RP11-350N15.5
ENSG00000165046.12	ENSG0000016504612	LETM2
ENSG00000254981.1	ENSG000002549811	RP11-350N15.3
ENSG00000272159.1	ENSG000002721591	RP11-350N15.6
ENSG00000077782.19	ENSG0000007778219	FGFR1
ENSG00000255201.1	ENSG000002552011	RP11-350N15.4
ENSG00000239218.2	ENSG000002392182	RPS20P22
ENSG00000196166.3	ENSG000001961663	C8orf86
ENSG00000253361.1	ENSG000002533611	RP11-675F6.3
ENSG00000254100.1	ENSG000002541001	RP11-675F6.4
ENSG00000253570.1	ENSG000002535701	RNF5P1
ENSG00000254321.1	ENSG000002543211	RP11-495O10.1
ENSG00000147526.19	ENSG0000014752619	TACC1
ENSG00000207258.1	ENSG000002072581	Y_RNA
ENSG00000253586.1	ENSG000002535861	RP11-723D22.2
ENSG00000253829.1	ENSG000002538291	RP11-723D22.3
ENSG00000169499.14	ENSG0000016949914	PLEKHA2
ENSG00000253645.1	ENSG000002536451	CTD-2544N14.3
ENSG00000169495.4	ENSG000001694954	HTRA4
ENSG00000169490.16	ENSG0000016949016	TM2D2
ENSG00000168615.11	ENSG0000016861511	ADAM9
ENSG00000207199.1	ENSG000002071991	SNORD38
ENSG00000197140.14	ENSG0000019714014	ADAM32
ENSG00000243095.1	ENSG000002430951	RPL3P10
ENSG00000253160.1	ENSG000002531601	RP11-1113C11.2
ENSG00000196115.13	ENSG0000019611513	ADAM5
ENSG00000197475.11	ENSG0000019747511	ADAM3A
ENSG00000254067.2	ENSG000002540672	RP11-122L4.2
ENSG00000168619.15	ENSG0000016861915	ADAM18
ENSG00000104755.14	ENSG0000010475514	ADAM2
ENSG00000253332.1	ENSG000002533321	KB-1582A10.1
ENSG00000253233.1	ENSG000002532331	KB-1582A10.2
ENSG00000131203.12	ENSG0000013120312	IDO1
ENSG00000253939.1	ENSG000002539391	RP11-44K6.3
ENSG00000253838.1	ENSG000002538381	RP11-44K6.2
ENSG00000254287.1	ENSG000002542871	RP11-44K6.4
ENSG00000188676.13	ENSG0000018867613	IDO2
ENSG00000253790.1	ENSG000002537901	RP11-44K6.5
ENSG00000253381.1	ENSG000002533811	RP11-359E19.1
ENSG00000253665.1	ENSG000002536651	RP11-359E19.2
ENSG00000176907.4	ENSG000001769074	C8orf4
ENSG00000254143.1	ENSG000002541431	RP11-470M17.2
ENSG00000253802.1	ENSG000002538021	CTA-392C11.1
ENSG00000253354.1	ENSG000002533541	CTA-392C11.2
ENSG00000272479.1	ENSG000002724791	RP11-301G7.1
ENSG00000165061.14	ENSG0000016506114	ZMAT4
ENSG00000254383.1	ENSG000002543831	RP11-465K16.1
ENSG00000206867.1	ENSG000002068671	RNU6-356P
ENSG00000104332.11	ENSG0000010433211	SFRP1
ENSG00000263372.1	ENSG000002633721	MIR548AO
ENSG00000239281.2	ENSG000002392812	RPS29P2
ENSG00000253509.1	ENSG000002535091	CTD-3080F16.3
ENSG00000206852.1	ENSG000002068521	RNU6-895P
ENSG00000238936.1	ENSG000002389361	SNORD65
ENSG00000253396.1	ENSG000002533961	RP11-15G16.1
ENSG00000147533.16	ENSG0000014753316	GOLGA7
ENSG00000253943.1	ENSG000002539431	KRT18P37
ENSG00000147536.11	ENSG0000014753611	GINS4
ENSG00000253133.1	ENSG000002531331	RP11-360L9.4
ENSG00000253174.2	ENSG000002531742	RP11-360L9.7
ENSG00000158669.11	ENSG0000015866911	GPAT4
ENSG00000264578.1	ENSG000002645781	RP11-360L9.8
ENSG00000165066.12	ENSG0000016506612	NKX6-3
ENSG00000029534.19	ENSG0000002953419	ANK1
ENSG00000274705.2	ENSG000002747052	MIR486-1
ENSG00000283450.1	ENSG000002834501	MIR486-2
ENSG00000253389.2	ENSG000002533892	RP11-930P14.1
ENSG00000207101.1	ENSG000002071011	Y_RNA
ENSG00000260588.1	ENSG000002605881	RP11-930P14.2
ENSG00000241834.3	ENSG000002418343	RN7SL149P
ENSG00000083168.9	ENSG000000831689	KAT6A
ENSG00000238966.1	ENSG000002389661	SNORD112
ENSG00000244235.2	ENSG000002442352	RP11-589C21.1
ENSG00000253135.1	ENSG000002531351	RP11-589C21.2
ENSG00000271938.1	ENSG000002719381	RP11-589C21.6
